bbg_ticker,Generic_Ticker,Contract_Size,Category,Currency,FX_Rate_to_USD
JBZ6 Comdty,JB1 Comdty,100000000.0,Bond,JPY,0.00645
JBU6 Comdty,JB1 Comdty,100000000.0,Bond,JPY,0.00645
DXZ6 Curncy,DX1 Curncy,1000.0,Currency,USD,1.0
DXU6 Curncy,DX1 Curncy,1000.0,Currency,USD,1.0
JYZ6 Curncy,JY1 Curncy,12500000.0,Currency,USD,1.0
XIDU6 Curncy,XID1 Curncy,2000000.0,Currency,USD,1.0
NGX26 Comdty,NG1 Comdty,10000.0,Energy,USD,1.0
JYU6 Curncy,JY1 Curncy,12500000.0,Currency,USD,1.0
CLV6 Comdty,CL1 Comdty,1000.0,Energy,USD,1.0
ADU6 Curncy,AD1 Curncy,100000.0,Currency,USD,1.0
OEZ6 Comdty,OE1 Comdty,100000.0,Bond,EUR,1.1535
USZ6 Comdty,US1 Comdty,100000.0,Bond,USD,1.0
TYZ6 Comdty,TY1 Comdty,100000.0,Bond,USD,1.0
FVZ6 Comdty,FV1 Comdty,100000.0,Bond,USD,1.0
PFRQ6 Comdty,PFR1 Comdty,100.0,Chemicals,USD,1.0
ZZBQ6 Comdty,ZZB1 Comdty,100.0,Chemicals,USD,1.0
SCOQ6 Comdty,SCO1 Comdty,100.0,Ferrous,USD,1.0
BBWF27 Comdty,BBW1 Comdty,1000.0,Energy,USD,1.0
AZBX26 Comdty,AZB1 Comdty,1000.0,Energy,USD,1.0
SCOX6 Comdty,SCO1 Comdty,100.0,Ferrous,USD,1.0
XUCU6 Curncy,XUC1 Curncy,100000.0,Currency,CNH,0.1489
SBH7 Comdty,SB1 Comdty,112000.0,Agriculture,USD,1.0
XBV6 Comdty,XB1 Comdty,42000.0,Energy,USD,1.0
ZZBV6 Comdty,ZZB1 Comdty,100.0,Chemicals,USD,1.0
RSF7 Comdty,RS1 Comdty,20.0,Agriculture,CAD,0.7192
CJPV26 Comdty,CJP1 Comdty,1000.0,Energy,USD,1.0
GCV6C 4650 Comdty,GC1 Comdty,100.0,Precious Metal,USD,1.0
GCV6C 4775 Comdty,GC1 Comdty,100.0,Precious Metal,USD,1.0
COF7 Comdty,CO1 Comdty,1000.0,Energy,USD,1.0
GCZ6 Comdty,GC1 Comdty,100.0,Precious Metal,USD,1.0
PFRF7 Comdty,PFR1 Comdty,100.0,Chemicals,USD,1.0
COZ6 Comdty,CO1 Comdty,1000.0,Energy,USD,1.0
BOZ6 Comdty,BO1 Comdty,60000.0,Agriculture,USD,1.0
LMZSDP 20261216 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
LMZSDP 20261127 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
LMZSDP 20261118 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
LMZSDP 20260916 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
W Z6 Comdty,W 1 Comdty,5000.0,Agriculture,USD,1.0
KCZ6 Comdty,KC1 Comdty,37500.0,Agriculture,USD,1.0
LMZSDP 20261021 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
RXZ6 Comdty,RX1 Comdty,100000.0,Bond,EUR,1.1535
RXU6 Comdty,RX1 Comdty,100000.0,Bond,EUR,1.1535
IKZ6 Comdty,IK1 Comdty,100000.0,Bond,EUR,1.1535
IKU6 Comdty,IK1 Comdty,100000.0,Bond,EUR,1.1535
SBV6 Comdty,SB1 Comdty,112000.0,Agriculture,USD,1.0
OATZ6 Comdty,OAT1 Comdty,100000.0,Bond,EUR,1.1535
OATU6 Comdty,OAT1 Comdty,100000.0,Bond,EUR,1.1535
XIDQ6 Curncy,XID1 Curncy,2000000.0,Currency,USD,1.0
AZBZ26 Comdty,AZB1 Comdty,1000.0,Energy,USD,1.0
LMZSDP 20261126 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
SIU6 Comdty,SI1 Comdty,5000.0,Precious Metal,USD,1.0
AUAV6C 72.5 Curncy,AUA1 Curncy,100000.0,Currency,USD,1.0
AUAU6C 70.5 Curncy,AUA1 Curncy,100000.0,Currency,USD,1.0
DFX6 Comdty,DF1 Comdty,10.0,Agriculture,USD,1.0
SCOU6 Comdty,SCO1 Comdty,100.0,Ferrous,USD,1.0
JWLV26 Comdty,JWL1 Comdty,1000.0,Energy,USD,1.0
C Z6 Comdty,C 1 Comdty,5000.0,Agriculture,USD,1.0
LMSNDP 20261127 Comdty,LMSNDY Comdty,5.0,Base Metal,USD,1.0
