bbg_ticker,Generic_Ticker,Contract_Size,Category,Currency
JBZ6 Comdty,JB1 Comdty,100000000.0,Bond,JPY
JBU6 Comdty,JB1 Comdty,100000000.0,Bond,JPY
DXZ6 Curncy,DX1 Curncy,1000.0,Currency,USD
DXU6 Curncy,DX1 Curncy,1000.0,Currency,USD
JYZ6 Curncy,JY1 Curncy,12500000.0,Currency,USD
XIDU6 Curncy,XID1 Curncy,2000000.0,Currency,USD
NGX26 Comdty,NG1 Comdty,10000.0,Energy,USD
JYU6 Curncy,JY1 Curncy,12500000.0,Currency,USD
CLV6 Comdty,CL1 Comdty,1000.0,Energy,USD
ADU6 Curncy,AD1 Curncy,100000.0,Currency,USD
OEZ6 Comdty,OE1 Comdty,100000.0,Bond,EUR
USZ6 Comdty,US1 Comdty,100000.0,Bond,USD
TYZ6 Comdty,TY1 Comdty,100000.0,Bond,USD
FVZ6 Comdty,FV1 Comdty,100000.0,Bond,USD
PFRQ6 Comdty,PFR1 Comdty,100.0,Chemicals,USD
ZZBQ6 Comdty,ZZB1 Comdty,100.0,Chemicals,USD
SCOQ6 Comdty,SCO1 Comdty,100.0,Ferrous,USD
BBWF27 Comdty,BBW1 Comdty,1000.0,Energy,USD
AZBX26 Comdty,AZB1 Comdty,1000.0,Energy,USD
SCOX6 Comdty,SCO1 Comdty,100.0,Ferrous,USD
XUCU6 Curncy,XUC1 Curncy,100000.0,Currency,CNH
SBH7 Comdty,SB1 Comdty,112000.0,Agriculture,USD
XBV6 Comdty,XB1 Comdty,42000.0,Energy,USD
ZZBV6 Comdty,ZZB1 Comdty,100.0,Chemicals,USD
RSF7 Comdty,RS1 Comdty,20.0,Agriculture,CAD
CJPV26 Comdty,CJP1 Comdty,1000.0,Energy,USD
GCV6C 4650 Comdty,GC1 Comdty,100.0,Precious Metal,USD
GCV6C 4775 Comdty,GC1 Comdty,100.0,Precious Metal,USD
COF7 Comdty,CO1 Comdty,1000.0,Energy,USD
GCZ6 Comdty,GC1 Comdty,100.0,Precious Metal,USD
PFRF7 Comdty,PFR1 Comdty,100.0,Chemicals,USD
COZ6 Comdty,CO1 Comdty,1000.0,Energy,USD
BOZ6 Comdty,BO1 Comdty,60000.0,Agriculture,USD
LMZSDP 20261216 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
LMZSDP 20261127 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
LMZSDP 20261118 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
LMZSDP 20260916 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
W Z6 Comdty,W 1 Comdty,5000.0,Agriculture,USD
KCZ6 Comdty,KC1 Comdty,37500.0,Agriculture,USD
LMZSDP 20261021 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
RXZ6 Comdty,RX1 Comdty,100000.0,Bond,EUR
RXU6 Comdty,RX1 Comdty,100000.0,Bond,EUR
IKZ6 Comdty,IK1 Comdty,100000.0,Bond,EUR
IKU6 Comdty,IK1 Comdty,100000.0,Bond,EUR
SBV6 Comdty,SB1 Comdty,112000.0,Agriculture,USD
OATZ6 Comdty,OAT1 Comdty,100000.0,Bond,EUR
OATU6 Comdty,OAT1 Comdty,100000.0,Bond,EUR
XIDQ6 Curncy,XID1 Curncy,2000000.0,Currency,USD
AZBZ26 Comdty,AZB1 Comdty,1000.0,Energy,USD
LMZSDP 20261126 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
SIU6 Comdty,SI1 Comdty,5000.0,Precious Metal,USD
AUAV6C 72.5 Curncy,AUA1 Curncy,100000.0,Currency,USD
AUAU6C 70.5 Curncy,AUA1 Curncy,100000.0,Currency,USD
DFX6 Comdty,DF1 Comdty,10.0,Agriculture,USD
SCOU6 Comdty,SCO1 Comdty,100.0,Ferrous,USD
JWLV26 Comdty,JWL1 Comdty,1000.0,Energy,USD
C Z6 Comdty,C 1 Comdty,5000.0,Agriculture,USD
LMSNDP 20261127 Comdty,LMSNDY Comdty,5.0,Base Metal,USD
QSU6 Comdty,QS1 Comdty,100.0,Energy,USD
USU6 Comdty,US1 Comdty,100000.0,Bond,USD
LMZSDP 20261124 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
LMZSDP 20270120 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
