Currency,FX_Rate_to_USD,queried_at_utc
USD,1.0,2026-09-16T06:29:43.383943+00:00
CNH,0.1491,2026-09-16T06:29:43.383943+00:00
HKD,0.12749,2026-09-16T06:29:43.383943+00:00
JPY,0.006447,2026-09-16T06:29:43.383943+00:00
CAD,0.7179,2026-09-16T06:29:43.383943+00:00
EUR,1.1548,2026-09-16T06:29:43.383943+00:00
GBP,1.3479,2026-09-16T06:29:43.383943+00:00
KRW,0.07306,2026-09-16T06:29:43.383943+00:00
MYR,0.2454,2026-09-16T06:29:43.383943+00:00
SEK,0.102327,2026-09-16T06:29:43.383943+00:00
AUD,0.7127,2026-09-16T06:29:43.383943+00:00
